nombre;correo;tema_tesis;clave
Alumno 01;alumno01@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 02;alumno02@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 03;alumno03@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 04;alumno04@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 05;alumno05@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 06;alumno06@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 07;alumno07@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 08;alumno08@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 09;alumno09@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 10;alumno10@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 11;alumno11@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 12;alumno12@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 13;alumno13@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 14;alumno14@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 15;alumno15@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 16;alumno16@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 17;alumno17@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 18;alumno18@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 19;alumno19@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 20;alumno20@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 21;alumno21@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 22;alumno22@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 23;alumno23@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 24;alumno24@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 25;alumno25@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 26;alumno26@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 27;alumno27@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 28;alumno28@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 29;alumno29@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 30;alumno30@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 31;alumno31@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 32;alumno32@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 33;alumno33@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 34;alumno34@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 35;alumno35@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 36;alumno36@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 37;alumno37@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 38;alumno38@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 39;alumno39@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 40;alumno40@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 41;alumno41@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 42;alumno42@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 43;alumno43@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 44;alumno44@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 45;alumno45@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 46;alumno46@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 47;alumno47@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 48;alumno48@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 49;alumno49@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 50;alumno50@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 51;alumno51@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 52;alumno52@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 53;alumno53@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 54;alumno54@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 55;alumno55@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 56;alumno56@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 57;alumno57@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 58;alumno58@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 59;alumno59@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 60;alumno60@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 61;alumno61@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 62;alumno62@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 63;alumno63@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 64;alumno64@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 65;alumno65@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 66;alumno66@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 67;alumno67@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 68;alumno68@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 69;alumno69@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 70;alumno70@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 71;alumno71@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 72;alumno72@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 73;alumno73@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 74;alumno74@smgt.cl;Microscopio social para salud preventiva;alumno123
Alumno 75;alumno75@smgt.cl;Analitica de redes para colaboracion;alumno123
Alumno 76;alumno76@smgt.cl;Derecho y regulacion digital;alumno123
Alumno 77;alumno77@smgt.cl;Microscopio social para salud preventiva;alumno123
